ministry,scheme_name,objective,women_focus,income_min,income_max
Ministry of Agriculture and Farmers Welfare,Mahila Kisan Sashaktikaran Pariyojana (MKSP),"Aims to improve the productivity and income of women farmers by promoting sustainable agriculture practices and livelihood options.","Provides training, tools, and support to small and marginal women farmers.",0,500000
Ministry of Agriculture and Farmers Welfare,Rashtriya Mahila Kisan Yojana,"Encourages women farmers to take leadership roles in agriculture and promotes skills training.","Focuses on women’s agricultural leadership and modern farming practices.",0,600000
Ministry of Health and Family Welfare,Janani Suraksha Yojana (JSY),"Provides financial assistance to pregnant women for institutional delivery under the National Health Mission.","Targets below-poverty-line (BPL) women to promote safe motherhood.",0,150000
Ministry of Health and Family Welfare,Pradhan Mantri Matru Vandana Yojana (PMMVY),"Offers a cash incentive of ₹5,000 to pregnant and lactating women to improve maternal health and nutrition.","Encourages institutional delivery and reduces infant mortality.",0,300000
Ministry of Home Affairs,Nari Shakti Puraskar,"Recognizes outstanding contributions by women across diverse sectors including social, economic, and leadership fields.","Honors women achievers for exceptional work at national and community levels.",0,99999999
Ministry of Home Affairs,Mahila Police Volunteer Scheme,"Builds a bridge between police and community by engaging women as volunteers to assist in preventing crimes against women.","Trains women to act as the first link in reporting and preventing violence.",0,99999999
Ministry of Law and Justice,Protection of Women from Domestic Violence Act,"Provides legal protection and remedies for women facing domestic violence.","Ensures justice, protection orders, and rehabilitation support for victims.",0,99999999
Ministry of MSME,Udyogini Scheme,"Provides subsidized loans for women entrepreneurs from rural and urban areas to start small enterprises.","Empowers disadvantaged women through financial support and entrepreneurship.",100000,500000
Ministry of MSME,Mahila Coir Yojana,"Promotes women’s participation in coir production and provides training, financial aid, and working capital support.","Encourages women-led microenterprises in coir-based industries.",50000,400000
Ministry of MSME,Prime Minister Employment Generation Programme (PMEGP),"Credit-linked subsidy program for self-employment and micro-enterprises with a focus on women entrepreneurs.","Provides higher subsidy (25%) for women starting new enterprises.",200000,1000000
Ministry of Women and Child Development,Beti Bachao Beti Padhao (BBBP),"Addresses the declining child sex ratio and promotes education and empowerment of the girl child.","Raises awareness about the importance of girls’ education and equality.",0,99999999
Ministry of Women and Child Development,One Stop Centre (OSC),"Provides integrated support services to women affected by violence including shelter, legal, medical, and counselling aid.","Ensures immediate help and safety for women in distress.",0,99999999
Ministry of Women and Child Development,Mahila Shakti Kendra (MSK),"Empowers rural women through community participation, skill training, and advocacy.","Strengthens local governance participation and financial inclusion.",0,600000
Ministry of Women and Child Development,Integrated Child Development Services (ICDS),"Improves maternal and child health, nutrition, and early education through Anganwadi centers.","Supports mothers and children through healthcare and nutrition programs.",0,400000
Ministry of Steel,Women in Steel Program,"Promotes women’s participation and leadership in the steel industry through skill and leadership training.","Encourages gender equality in industrial sectors traditionally led by men.",0,99999999
Ministry of Social Justice and Empowerment,New Swarnima Scheme for Women,"Provides term loans up to ₹2,00,000 to backward class women entrepreneurs for self-employment.","Encourages economic independence among socially disadvantaged women.",0,300000
Ministry of Social Justice and Empowerment,Mahila Samridhi Yojana (MSY),"Microfinance support for backward-class women entrepreneurs via SHGs.","Supports self-help groups of women for entrepreneurship and livelihoods.",0,300000
Ministry of Science and Technology,Women Scientist Scheme (WOS),"Supports women scientists returning to research through fellowships and grants.","Encourages women’s participation in STEM research and innovation.",300000,99999999
Ministry of Science and Technology,SERB-POWER (Promoting Opportunities for Women in Exploratory Research),"Funds women researchers to reduce gender disparity in science and engineering.","Promotes women’s participation in national-level R&D programs.",300000,99999999
Ministry of Skill Development and Entrepreneurship,Women Entrepreneurship Program,"Provides structured training and awareness for aspiring women entrepreneurs.","Introduces entrepreneurship as a viable career path for women students.",0,800000
Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana (PMUY),"Provides free LPG connections to women from Below Poverty Line (BPL) households.","Improves women’s health and safety by reducing exposure to smoke.",0,150000
Ministry of Finance,Stand-Up India Scheme,"Facilitates loans from ₹10 lakh to ₹1 crore for women entrepreneurs to set up enterprises.","Promotes inclusion and supports women-led startups.",250000,10000000
Ministry of Finance,Pradhan Mantri Mudra Yojana (PMMY),"Offers collateral-free loans up to ₹10 lakh to micro and small enterprises, including women entrepreneurs.","Encourages women-led micro-businesses through easy credit.",0,1000000
Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),"Guarantees 100 days of paid employment to rural households annually.","Ensures one-third of beneficiaries are women to promote equality.",0,250000
Ministry of Planning (NITI Aayog),Women Entrepreneurship Platform (WEP),"Provides mentorship, funding access, and networking for women entrepreneurs.","Builds a national ecosystem supporting women-led startups.",0,99999999
Ministry of Communications,Sanchar Shakti,"Empowers women SHG members by providing ICT-enabled services like mobile repair and solar charging.","Promotes digital literacy and women’s access to technology.",0,400000
Ministry of Education,Mahila Samakhya Programme,"Empowers rural women through education and collective learning.","Encourages lifelong learning and participation in governance.",0,300000
Ministry of Tribal Affairs,Support to Tribal Women for Skill Development,"Provides vocational training to tribal women in weaving, crafts, and agriculture.","Empowers tribal women to earn livelihoods through traditional skills.",0,400000
Ministry of Textiles,Development for Women in Traditional Crafts,"Supports skill development for women artisans in handloom, khadi, and handicrafts.","Enhances income and preserves traditional Indian crafts.",0,500000
Ministry of Railways,Meri Saheli Initiative,"Ensures safety and support for women passengers through dedicated teams.","Promotes safe travel and assistance for women passengers.",0,99999999
Ministry of Panchayati Raj,Model Women-Friendly Gram Panchayats Initiative,"Trains women leaders at Gram Panchayat level to enhance participation.","Promotes women’s leadership in rural governance.",0,99999999
Ministry of Environment,Forest and Climate Change,Women and Climate Change Initiative,"Addresses gender-specific challenges of women in climate change.","Promotes women as leaders in climate resilience.",0,99999999
Ministry of Fisheries,Animal Husbandry and Dairying,National Livestock Mission (NLM),"Supports women dairy farmers with financial and technical assistance.","Promotes self-reliance of women in livestock farming.",0,500000
Ministry of Youth Affairs and Sports,Sports for Women,"Promotes women’s participation in sports and provides training and facilities.","Improves access to sports and encourages women athletes.",0,800000
Ministry of Cooperation,Nandini Sahakar Scheme,"Supports women-led cooperative societies with financial aid and credit linkage.","Improves socio-economic status of women in cooperatives.",0,400000
Ministry of Civil Aviation,Women in Aviation Initiative,"Encourages women to join aviation careers with scholarships and mentorship.","Promotes gender diversity in aviation and aerospace.",500000,99999999
Ministry of Corporate Affairs,Yashasvini Initiative,"Empowers women entrepreneurs through capacity building in Tier-II/III cities.","Promotes women’s leadership in business through training and networking.",0,800000
Ministry of AYUSH,Poshan Abhiyan (Ayush Collaboration),"Collaborates with MWCD to improve nutrition among girls and pregnant women through AYUSH-based interventions.","Promotes health and well-being using traditional medicine.",0,300000
Ministry of Minority Affairs,Nai Roshni Scheme,"Provides leadership training and financial literacy to women from minority communities.","Empowers minority women to become community leaders.",0,400000
Ministry of Ports,Shipping and Waterways,Scholarships for Women Seafarers,"Provides scholarships up to ₹1,00,000 for women in maritime training.","Encourages women’s participation in the maritime sector.",200000,1000000
